#n,B00_1399662250,B01_1399662250,B02_1399662250,B03_1399662250,B04_1399662250,B05_1399662250,B06_1399662250,B07_1399662250,B08_1399662250,B09_1399662250,B10_1399662250,B11_1399662250,B12_1399662250,B13_1399662250,B14_1399662250,B15_1399662250,B16_1399662250,B17_1399662250,B18_1399662250,B19_1399662250,B20_1399662250,B21_1399662250,B22_1399662250,B23_1399662250,B24_1399662250,B25_1399662250,B26_1399662250,B27_1399662250,B28_1399662250,B29_1399662250,B30_1399662250,B31_1399662250,B32_1399662250,B33_1399662250,B34_1399662250,B35_1399662250,B36_1399662250,B37_1399662250,B38_1399662250,B39_1399662250
20,0.03259490673906357,,0.05009823110010314,0.05474969872764322,0.06265467935457761,0.056776090678317494,0.038379735973767905,0.030807924901009635,0.0429266739608828,0.035871375715388516,0.037305943046153735,0.039398261520370015,0.0745265633801546,0.061888126124105346,0.03776451037618389,0.04159200218469025,0.04588935754765729,0.049109800646795765,0.05661456462827126,0.05389532462019292,0.024406867969164383,0.043736068877342396,0.03901008601044507,0.04447037711483646,0.044506791602149154,0.03894597017534424,0.031038537598706624,0.07480364577310061,0.0772463526079419,0.07810019424926284,0.07918235444027352,0.07106301994673184,0.06104047608048428,0.07800217833064835,0.10651268149396459,0.11424045868778823,0.11546734480610113,0.10215733682192302,0.08559877220899373,0.08413404747707794
21,0.03204773135188444,,0.04666432898463997,0.04958043201280869,0.058861897064574856,0.0547548274916036,0.038237000148236756,0.03269959726042862,0.0383102997687502,0.0325017783435467,0.0360139342486589,0.037437525925372736,0.07624857042027977,0.056145821783600086,0.03789188881529245,0.03996996362231524,0.0428181871830117,0.047823457325662844,0.05419500474094967,0.0488812661060162,0.023195214711737515,0.04093522351990689,0.04023618802246066,0.041588405834986686,0.042063533389602156,0.03707838324411415,0.028919721970762473,0.07316731100060209,0.07408958816826333,0.07572549413012165,0.07508802846579421,0.06794240461970832,0.05893602003425752,0.07898491113828604,0.10550562404651215,0.1120292316549504,0.11174764608798908,0.09807262200028072,0.08174186980364345,0.07981106326980002
22,0.029142115907951967,,0.04191236738748382,0.04402530026651867,0.053363477607881765,0.05153021623383949,0.037107547805964106,0.03320052742078394,0.0340305834741969,0.02844662296399773,0.03290143074508163,0.033505110799431276,0.07667958282962478,0.05024109050286962,0.03683539800145108,0.0376965618802156,0.038166131098983036,0.04393402115833001,0.05140521357222481,0.04247150576887581,0.021325596682477136,0.03834094249980187,0.036936605617777556,0.037649705684035736,0.03829177462764446,0.03486933555817019,0.024976965389770622,0.07020880866494382,0.06873263788160396,0.0705003113286251,0.07080029805722082,0.06329270900461514,0.057501201728866566,0.07924810260905825,0.10191476387282006,0.10598594713919163,0.10678434308140694,0.0908102466626829,0.07640803669715272,0.07421135102126003
23,0.02601721104350578,,0.036327344006251344,0.03752919408725118,0.04623719050048894,0.047003208425867735,0.03534245490353836,0.03293330957397163,0.029831913744946655,0.023618521580069808,0.028900260410663237,0.028956344513457778,0.07600381707022222,0.044344222750717456,0.03544506315798229,0.03246074704017644,0.03365309517413442,0.03800552627599456,0.04679249435627565,0.03595954576444252,0.01881583484708254,0.0349089794498589,0.035255933183742816,0.0334911959763519,0.03532553508828202,0.03237022609240771,0.022948700863360535,0.06585595082625773,0.06245247742803527,0.0638684878181324,0.06224100265329334,0.05727609930484318,0.054703457714919634,0.07846320139396845,0.09841326151668878,0.09924660807336502,0.10052663617178724,0.08245278695699695,0.0701554161745373,0.06771367812335381
24,0.022762918123825495,,0.030912043432959686,0.030599861163098915,0.0380410822357381,0.04165403765607027,0.032787200462740515,0.03161901898299197,0.024928035712217543,0.01948315657640184,0.02424804896020385,0.024260010786715882,0.07313322729801425,0.03827389185620121,0.032104448498141966,0.028351799433283434,0.029182775654079708,0.0317726250473821,0.040348240504399516,0.029200051792763214,0.015733220854200907,0.031310052163121535,0.03203248075354628,0.02953118022624383,0.02840503746839688,0.028073649608378194,0.02143752773990838,0.06085391738616149,0.056581005950534176,0.05746071966758062,0.05493525454300868,0.050772797410785685,0.04962194268290222,0.07610928672155193,0.09347075045980532,0.09054079096606069,0.0919876005404377,0.07281090354086785,0.06350275522581225,0.06174052920845855
25,0.01830522140236999,,0.025146183285951727,0.023683362348198515,0.03046155911076987,0.035451261191378376,0.030050612056841355,0.029048998578719728,0.019992275665128248,0.01490075975134935,0.01914433811846,0.019582321321890098,0.06885835167628623,0.03289841053825773,0.02871555554528495,0.02375121334233372,0.02399488557999402,0.02563570375259896,0.033235308934856926,0.023891579812250315,0.012809104902526283,0.028865619898982987,0.027781764680740645,0.025100262191848487,0.02266336357261116,0.02261390996571205,0.01802341076847728,0.05570753756252481,0.049318886985928456,0.04911529603417179,0.04581187766372195,0.044378293675266384,0.044694592251441886,0.07410335084319274,0.08661579166409561,0.0809448847661534,0.08141448675155259,0.06161673059354084,0.055311432204254996,0.05473256893260073
26,0.013210732336974645,,0.019856437830822835,0.01691801084080805,0.02334908471180196,0.028696198494753095,0.027545870217864504,0.02565782771736139,0.015965494277749275,0.01066157675769605,0.014592780918813171,0.014754084874363261,0.06365703793702306,0.02756452098496631,0.0239744279569276,0.019619807043440244,0.01792093920495249,0.01924656769259881,0.026461030922343816,0.01748569185546896,0.009770038140054355,0.025537313535268648,0.023162952803745834,0.01948289494601802,0.01739811339722047,0.01657757255271164,0.01312696151902864,0.04859698195567263,0.04102750095172411,0.04069138673529324,0.036130733839105006,0.035382637178277006,0.03931639852567807,0.07045583513251852,0.07880292433792424,0.0701511172510692,0.06990135745118593,0.05012638771647714,0.04569477913566355,0.0456815212987271
27,0.00888462036411963,,0.015102894302190849,0.010908671198171746,0.016408706789624583,0.022029901171165014,0.025341293077126365,0.021473395537764933,0.012468539181124737,0.006999699547479347,0.00990368491423698,0.009843375250357278,0.05705810589784213,0.021775358299337792,0.017071439429038507,0.015506045819270219,0.013210683264927293,0.0136144216241544,0.0194746651280378,0.01081143981394721,0.005751696862432323,0.02271519760124105,0.01895181418951551,0.01408700176005546,0.011626370427999385,0.013035608097184351,0.008080856459816524,0.0417226243395069,0.03328866651648652,0.031049060527978317,0.02748832402263822,0.026479180443249213,0.03302013093816916,0.0661665866324106,0.06980814461829712,0.05990691039256935,0.05795491618396928,0.03931393857296715,0.03682356475554746,0.03749484460863599
28,0.0058736891871821505,,0.010915410124103506,0.006484235009099599,0.010143029029302196,0.01620224476175882,0.02327561732699243,0.0166403878740911,0.009402713688748976,0.0036902810309418677,0.0066535923500515,0.00564091096748015,0.049401965918067677,0.016033366814427796,0.011344403072750609,0.011954775959245403,0.009936906948607145,0.00887717179821231,0.01363890769490552,0.0056196953320161265,0.0037473748217569315,0.019603490955341286,0.01502802630687415,0.009383026568373696,0.0072763178872348785,0.008852886979329493,0.003604922221927262,0.035067626267314946,0.026080153346300622,0.022145700150275786,0.018787388431603352,0.018522020469389167,0.02652209978899762,0.06324309478421909,0.06098802800592808,0.049141912248848466,0.046447585902807634,0.02900664915424284,0.027998471278226973,0.02905507648328671
29,0.0034404772315611795,,0.007532788361125307,0.0036929270084045855,0.005312385273424066,0.011137728648972658,0.022469895636530228,0.012469755565458904,0.00723137754360631,0.0015986351494891404,0.00361236569994838,0.003180353824106448,0.04160545572921093,0.012621705616417546,0.005885451243109966,0.00907844727466695,0.006813681234699138,0.004814524775843655,0.008451285902447314,0.002777444660259085,0.003943822496484447,0.01689917352859173,0.011134954590061901,0.006330956832309541,0.004577480065934796,0.005649306027964462,0.0012431311652504095,0.028555544967790034,0.01854489923927845,0.014586559045735817,0.011483042348532112,0.012036047150846853,0.019759399371105796,0.06044581416457341,0.0518481080591269,0.03703348181416863,0.0356298573683228,0.019525457604827448,0.019461733638711932,0.019988729858045513
